text,Sentiment Score,Analysis
"[carla, se, jacta, de, ser, un, feliz, violador, de, ddhh, se, r, e, de, quienes, le, han, advertido, las, consecuencias, co]",0,Neutral
,,
"[congratulations, drew, brees, time, passing, record, always, class, act]",2,Positive
,,
"[congratulations, drew, brees, time, passing, record, always, class, act]",2,Positive
,,
"[congratulations, drew, brees, time, passing, record, always, class, act]",2,Positive
,,
[],0,Neutral
,,
[],0,Neutral
,,
"[congratulations, drew, brees, time, passing, record, always, class, act]",2,Positive
,,
"[congratulations, drew, brees, time, passing, record, always, class, act]",2,Positive
,,
"[congratulations, drew, brees, time, passing, record, always, class, act]",2,Positive
,,
"[liberal, media, completely, ignored, shocking, revelation, administration, amp, top, officials]",-2,Negative
,,
"[like, mr, president]",0,Neutral
,,
"[typical, left, constitution, suit, change, ignore, hey, bho]",-1,Negative
,,
[],0,Neutral
,,
"[obama, urges, voters, restore, sanity, politics, news, flash, pres, trump]",0,Neutral
,,
[],0,Neutral
,,
"[opinion, better, potus, please, vote, retweet, spread, po]",3,Positive
,,
"[congratulations, drew, brees, time, passing, record, always, class, act]",2,Positive
,,
"[huge, difference, one, makes, campaign, promises, never, keeps, one]",-2,Negative
,,
"[manchurian, candidate]",0,Neutral
,,
"[congratulations, drew, brees, time, passing, record, always, class, act]",2,Positive
,,
"[opinion, better, potus, please, vote, retweet, spread, po]",3,Positive
,,
"[apparently, held, kind, rally, love, see, pan, crowd, attending]",2,Positive
,,
"[carla, se, jacta, de, ser, un, feliz, violador, de, ddhh, se, r, e, de, quienes, le, han, advertido, las, consecuencias, co]",0,Neutral
,,
"[opinion, better, potus, please, vote, retweet, spread, po]",3,Positive
,,
[],0,Neutral
,,
"[congratulations, drew, brees, time, passing, record, always, class, act]",2,Positive
,,
"[north, dakota, native, americans, voting, instructions, voter, id, changes, get, info]",1,Positive
,,
"[mitch, mcconnell, father, three, democrats, opposed, kavanaugh, confirmation, asked, h]",1,Positive
,,
"[sure, thanks, much, gotten, around, reading, rest, tweet, yet]",4,Positive
,,
"[sanity, like]",0,Neutral
,,
"[happy, anniversary, 26, years, extraordinary, partner, someone, always, make, laug]",3,Positive
,,
"[congratulations, drew, brees, time, passing, record, always, class, act]",2,Positive
,,
"[congratulations, drew, brees, time, passing, record, always, class, act]",2,Positive
,,
"[congratulations, drew, brees, time, passing, record, always, class, act]",2,Positive
,,
"[congratulations, drew, brees, time, passing, record, always, class, act]",2,Positive
,,
"[carla, se, jacta, de, ser, un, feliz, violador, de, ddhh, se, r, e, de, quienes, le, han, advertido, las, consecuencias, co]",0,Neutral
,,
"[congratulations, drew, brees, time, passing, record, always, class, act]",2,Positive
,,
"[congratulations, drew, brees, time, passing, record, always, class, act]",2,Positive
,,
"[one, racist, one, made, whole, deba]",2,Positive
,,
"[congratulations, drew, brees, time, passing, record, always, class, act]",2,Positive
,,
"[opinion, better, potus, please, vote, retweet, spread, po]",3,Positive
,,
"[miss, one, bit, 8, years, way, long]",5,Positive
,,
"[china, ready, deal, see, eyes]",2,Positive
,,
"[congratulations, drew, brees, time, passing, record, always, class, act]",2,Positive
,,
"[manchurian, president, personal, records, still, sealed, spent, 36, million, dollars, 2016, alone, laws]",0,Neutral
,,
"[sellers, yes, also, remember, van, jones, assertive, guest, pan]",2,Positive
,,
"[carla, se, jacta, de, ser, un, feliz, violador, de, ddhh, se, r, e, de, quienes, le, han, advertido, las, consecuencias, co]",0,Neutral
,,
"[go, ahead, keep, missing, never, coming, back, thank, good, lord]",-1,Negative
,,
"[congratulations, drew, brees, time, passing, record, always, class, act]",2,Positive
,,
"[liberal, media, completely, ignored, shocking, revelation, administration, amp, top, officials]",-2,Negative
,,
"[congratulations, drew, brees, time, passing, record, always, class, act]",2,Positive
,,
"[congratulations, drew, brees, time, passing, record, always, class, act]",2,Positive
,,
[],0,Neutral
,,
"[congratulations, drew, brees, time, passing, record, always, class, act]",2,Positive
,,
"[congratulations, drew, brees, time, passing, record, always, class, act]",2,Positive
,,
[],0,Neutral
,,
[],0,Neutral
,,
"[ottawa, takes, white, president, ye, help, african, americans, leave, democratic, plantation, warden, gu]",0,Neutral
,,
"[congratulations, drew, brees, time, passing, record, always, class, act]",2,Positive
,,
"[congratulations, drew, brees, time, passing, record, always, class, act]",2,Positive
,,
"[honor, boobama, birthday, math, classes, decided, make, birthday, hats]",3,Positive
,,
[],0,Neutral
,,
[],0,Neutral
,,
"[economy, restore, without, deal]",0,Neutral
,,
"[congratulations, drew, brees, time, passing, record, always, class, act]",2,Positive
,,
"[survivors, left, die, foreign, country, sitting, us, president, corrupt, staff, amp, crimimal, se]",-1,Negative
,,
"[congratulations, president]",1,Positive
,,
"[congratulations, drew, brees, time, passing, record, always, class, act]",2,Positive
,,
[],0,Neutral
,,
"[congratulations, drew, brees, time, passing, record, always, class, act]",2,Positive
,,
"[congratulations, drew, brees, time, passing, record, always, class, act]",2,Positive
,,
"[birth, certificate, barry]",0,Neutral
,,
"[congratulations, drew, brees, time, passing, record, always, class, act]",2,Positive
,,
"[congratulations, drew, brees, time, passing, record, always, class, act]",2,Positive
,,
"[thank, service, six, years, ago, today, took, time, create, memory, son, last]",2,Positive
,,
"[claims, jobs, created, share, obama, flip, flop, friends, maga, keepamericagre]",2,Positive
,,
[jealous],0,Neutral
,,
"[congratulations, drew, brees, time, passing, record, always, class, act]",2,Positive
,,
"[mitch, mcconnell, father, three, democrats, opposed, kavanaugh, confirmation, asked, h]",1,Positive
,,
"[congratulations, drew, brees, time, passing, record, always, class, act]",2,Positive
,,
"[remember, elected, 2008, 2012, yet, blocked, con]",1,Positive
,,
"[congratulations, drew, brees, time, passing, record, always, class, act]",2,Positive
,,
"[growing, grandmother, nova, scotia, used, make, chow, relish, every, year, around, halloween, wi]",1,Positive
,,
"[pte, cecil, woodward, cameron, west, nova, scotia, regiment, r, c, c, dec, 17, 1943]",0,Neutral
,,
"[miss, nova, scotia]",1,Positive
,,
"[yes, government, paid, schools, 20, years, agreed, bought, mil]",3,Positive
,,
"[leaves, quebec, b, c, maybe, nova, scotia]",-1,Negative
,,
"[watch, 3, whales, dive, leap, via]",1,Positive
,,
"[watch, 3, whales, dive, leap, via]",1,Positive
,,
"[bank, nova, scotia, 103, 58, million, position, fortis, inc, fts]",1,Positive
,,
"[bank, nova, scotia, purchases, 41, 270, shares, charter, communications, inc, chtr]",1,Positive
,,
"[canadian, imperial, bank, commerce, cm, shares, bought, bank, nova, scotia]",3,Positive
,,
"[canadian, national, railway, cni, position, increased, bank, nova, scotia]",1,Positive
,,
"[beautiful, singles, partners, online, find, guide, real, latins, nova, scotia, show, date, yo]",3,Positive
,,
"[iwk, health, centre, permanently, hires, interim, ceo]",0,Neutral
,,
"[30, min, later, nova, scotia, 30, min, earlier, happy, hour, cocktails, cheers]",0,Neutral
,,
"[sophie, polumbo, mom, said, shock, cajun, originally, acadian, saw, articl]",1,Positive
,,
"[nova, scotia, blue]",0,Neutral
,,
"[spiral, staircases, nova, scotia, left, new, glasgow, right, kentville]",1,Positive
,,
"[stephen, mcneil, thinks, fiscally, imprudent, spend, money, health, care, services, needed, people, nova]",5,Positive
,,
"[chicks, online, good, free, best, european, horny, beauty, brunette, dating, sex, nova, scotia, gir]",4,Positive
,,
"[nova, scotia, producing, spectacular, white, sparkling, wines, annapolis, valley, home, best, w]",2,Positive
,,
"[october, 9, 1000, leif, eriksson, later, evangelized, greenland, reported, first, european, reach]",-1,Negative
,,
"[engineering, information, technicians]",0,Neutral
,,
"[honeybee, people, stupid]",1,Positive
,,
"[new, tour, tells, halifax, history, indigenous, black, perspective]",0,Neutral
,,
"[new, halifax, program, aims, give, pedestrians, head, start, cars]",0,Neutral
,,
"[everyone, deserves, equal, opportunities, lead, meaningful, amp, productive, lives, matter, abilities, may, suppo]",1,Positive
,,
"[might, go, casino, nova, scotia, halifax, canada, oct, 21]",-1,Negative
,,
"[police, locked, nova, sc]",0,Neutral
,,
"[new, nova, scotia, data, center, received, tier, iii, certification, constructed, facility]",1,Positive
,,
"[nslc, reveals, cannabis, sold, online, nova, scotia, legalized]",0,Neutral
,,
"[nova, scotia, hitting, autumnal, stride, right, would, love, showcase, province, fall, beauty, reply]",4,Positive
,,
"[spiral, staircases, nova, scotia, left, new, glasgow, right, kentville]",1,Positive
,,
"[crawshaw, lack, oxygen, gulf, st, lawrence, needs, emergency, action, says, activist]",0,Neutral
,,
"[destination, nova, scotia, luxury, luxurylifestyle]",0,Neutral
,,
"[title, article, n, government, promises, act, ndp, parental, leave, concern, actual, situation, government]",-2,Negative
,,
"[ca, citizenship, week, celebrate, highlighting, newcomers, nova, scotia, recently, received, citizenship]",1,Positive
,,
"[meet, nova, scotia, boy, whose, wanderful, business, making, harry, potter, wands, via]",2,Positive
,,
"[patrioteer, unity, meetup, nov]",0,Neutral
,,
"[people, stupid]",1,Positive
,,
"[ca, citizenship, week, celebrate, highlighting, newcomers, nova, scotia, recently, received, citizenship]",1,Positive
,,
"[patrioteer, unity, meetup, nov]",0,Neutral
,,
"[patrioteer, unity, meetup, nov]",0,Neutral
,,
"[patrioteer, unity, meetup]",0,Neutral
,,
"[dad, home, province, nova, scotia, canada]",2,Positive
,,
"[sidegig, meet, nova, scotia, boy, whose, wanderful, business, making, harry, potter, wa]",2,Positive
,,
"[always, inspiring, hear, artists, passion, music, opera, insipiration, halifax]",3,Positive
,,
"[hurricane, michael, storm, watch, atlantic, canada, cbc, news]",1,Positive
,,
"[early, storms]",1,Positive
,,
"[veterans, disgusted, vandals, deface, halifax, war, memorial]",-1,Negative
,,
"[johnson, half, african, american, father, family, migrated, nova, scotia, like, many, black, american]",-1,Negative
,,
"[come, join, us, nova, scotia, starting, two, weeks, tonight, amp]",1,Positive
,,
"[oh, leafsontsn, jetsontsn, games, tsn, tonight, nope, blackout, effect, 2018, sports]",0,Neutral
,,
"[let, towns, municipalities, say, govern]",0,Neutral
,,
"[50, states, nova, scotia, number, provinces, 17, countries, europe, central, america, love, france, best]",2,Positive
,,
"[newport, nova, scotia, book, wish, blurb, books]",3,Positive
,,
"[health, care, social, worker, social, worker, resource, specialist, nova, scotia, health, authority, nsha, dartmouth, ns]",-1,Negative
,,
"[staffnotstudies, nova, scotians, value, lives, seniors, must, prepared, pay, staff, ensur]",0,Neutral
,,
"[destination, nova, scotia, luxury, luxurylifestyle]",0,Neutral
,,
"[rather, see, play, one, black, loyalist, ancestors, fled, freedom, settled, nova, scotia, joh]",1,Positive
,,
"[shockingly, care, survivors, either]",1,Positive
,,
"[thank, libraries, archives, amp, museums, nova, scotia, lamns, supporting, 1bns, amp, annabel, visit]",2,Positive
,,
"[way, idiot, greg, keelor, nova, scotia]",1,Positive
,,
"[nova, scotia, hitting, autumnal, stride, right, would, love, showcase, province, fall, beauty, reply]",4,Positive
,,
"[telling, history, indigenous, elder, billy, lewis, said]",-2,Negative
,,
"[friend, snapped, pic, mackay, bridge, nova, scotia, today, cool, feel, like, whole, lot]",6,Positive
,,
"[friend, snapped, pic, mackay, bridge, nova, scotia, today, cool, feel, like, whole, lot]",6,Positive
,,
"[telling, history, indigenous, elder, billy, lewis, said]",-2,Negative
,,
"[nova, scotia, liquor, corporation, nslc, seeks, category, manager, join, team, halifax, 7, years]",3,Positive
,,
"[thank, much, work, rescuing, dogs, world, seems, endless, victories, week]",2,Positive
,,
"[ca, dalhousie, university, offers, take, juveniles, dfo, wildfish, nspoli]",-1,Negative
,,
"[audrey, parker, planned, death, november, 1st, couple, weeks, much, earlier, lik]",-1,Negative
,,
"[police, locked, nova, sc]",0,Neutral
,,
"[new, tour, tells, halifax, history, indigenous, black, perspective]",0,Neutral
,,
"[actually, happened, quite, often, india, part, commonwealth, many, uk, people, lived, par]",2,Positive
,,
"[n, moves, ban, conversion, therapy, exemption, minors, raises, concerns, cbc, news]",0,Neutral
,,
"[nova, scotia, sharks, full, display, amazing, see, ocean, life, home, brought, open]",5,Positive
,,
"[ns, week, continue, recognize, medalists, atl, championships, 14u, girls, championship, st]",3,Positive
,,
"[dream, destinations, everywhere, scotland, ireland, bavaria, nova, scotia, us, anywhere, west, bec]",0,Neutral
,,
"[nova, scotia, bans, declawing, ear, cropping, de, barking, amp, tail, docking, good, news, canada, ani]",1,Positive
,,
"[unbelievable, day, yesterday, finally, tagged, 2, female, white, sharks, immature, amp, 10ft, long, named, captai]",1,Positive
,,
"[audrey, parker, planned, death, november, 1st, couple, weeks, much, earlier, lik]",-1,Negative
,,
"[nova, scotia, moved, toronto]",0,Neutral
,,
"[know, richard, senior, commands, nova, scotia, within, alberta]",1,Positive
,,
"[n, widower, 92, get, birthday, card, deluge, thanks, internet]",3,Positive
,,
"[spiral, staircases, nova, scotia, left, new, glasgow, right, kentville]",1,Positive
,,
"[friend, snapped, pic, mackay, bridge, nova, scotia, today, cool, feel, like, whole, lot]",6,Positive
,,
"[friend, snapped, pic, mackay, bridge, nova, scotia, today, cool, feel, like, whole, lot]",6,Positive
,,
"[friend, snapped, pic, mackay, bridge, nova, scotia, today, cool, feel, like, whol]",4,Positive
,,
"[title, article, n, government, promises, act, ndp, parental, leave, concern, actual, situation, government]",-2,Negative
,,
"[oooh, jealous, especially, nova, scotia, pei]",0,Neutral
,,
"[nova, scotia, winters, snow, ice, pellets, freezing, rain, rain, big, freeze, winte]",-1,Negative
,,
"[5, caribbean, cruises, driven, i75, countless, time, gulf, coast, florida, drove]",1,Positive
,,
"[betcha, sell, canada, st, f, x, u, nova, scotia, gave, billy]",-1,Negative
,,
"[following, dfo, guidance, chumming, nova, scotia, close, shore, shark]",0,Neutral
,,
"[opposition, trudeau, campaigned, leaders, nova, scotia, new, brunswick, ontario, elections, pm, campaigne]",1,Positive
,,
"[minutes, seriously, would, like]",1,Positive
,,
"[nova, scotia, hitting, autumnal, stride, right, would, love, showcase, province, fall, beauty, reply]",4,Positive
,,
"[six, extraordinary, nova, scotians, contributed, greatly, communities, people, culture, invested]",1,Positive
,,
"[anti, racism, rally, held, black, man, shot, back, nail, gun]",-1,Negative
,,
"[meet, nova, scotia, boy, whose, wanderful, business, making, harry, potter, wands, via]",2,Positive
,,
"[fusiongps, founder, personally, briefed, new, york, times, dossier, month, election, nyt]",0,Neutral
,,
"[millennials, broke, fascists, power, world, sliding, apocalyptic, chaos, reached, limit]",0,Neutral
,,
"[fusiongps, founder, personally, briefed, new, york, times, dossier, month, election, nyt]",0,Neutral
,,
"[fusiongps, founder, personally, briefed, new, york, times, dossier, month, election, nyt]",0,Neutral
,,
"[new, york, times, still, offering, tours, saudi, arabia, starting, 11, 000, despite, calls, protests, e]",0,Neutral
,,
"[ook, new, york, times, bericht, de, klimaatzaak, dutch, appeals, court, upholds, landmark, climate, case, ruling]",0,Neutral
,,
"[zayn, seg, n, new, york, times, harry, podr, ser, el, co, host, de, la, met, gala, 2019, junto, al, director, creativo, de, gucci, alessandr]",1,Positive
,,
"[thailand, new, york, times, rolling, stone, nme]",0,Neutral
,,
"[new, york, times, reports, rick, gates, requested, proposals, 2016, israeli, company, create, fake, online, identit]",-1,Negative
,,
"[fusiongps, founder, personally, briefed, new, york, times, dossier, month, election, nyt]",0,Neutral
,,
"[unknowable, fallout, china, trade, war, nuclear, option, new, york, times, underscores, china, probably, sel]",1,Positive
,,
"[limousine, accident, higher, placement, article, new, york, times, website, gonna, tweet, ag]",1,Positive
,,
"[furtado, bbc, new, york, times]",0,Neutral
,,
"[thailand, new, york, times, rolling, stone, nme]",0,Neutral
,,
"[chris, dudley, college, relationship, brett, kavanaugh, included, alleged, bar, fight, left, man, hospitalized, af]",2,Positive
,,
"[yes, biggest, story, right, new, york, times, bombshell, bombed, politico]",1,Positive
,,
"[fusiongps, founder, personally, briefed, new, york, times, dossier, month, election, nyt]",0,Neutral
,,
"[fusiongps, founder, personally, briefed, new, york, times, dossier, month, election, nyt]",0,Neutral
,,
"[trump, needs, pay, new, york, times, bombshell, bombed, politico]",-2,Negative
,,
"[hey, heard, nikki, haley, resigned, today, know, one, wrote, new, york, times, articl]",2,Positive
,,
"[article, feels, like, written, love, books, read, read, last, paragraph, es]",3,Positive
,,
"[major, climate, report, describes, strong, risk, crisis, early, 2040, new, york, times, climate]",1,Positive
,,
"[wrote, new, piece, new, york, times, print, tomorrow, first, time, sunday, review]",3,Positive
,,
"[maddow, f, cking, angry, new, york, times, right, almost, tears, hometown, paper, dead]",1,Positive
,,
"[fusiongps, founder, personally, briefed, new, york, times, dossier, month, election, nyt]",0,Neutral
,,
"[fusiongps, founder, personally, briefed, new, york, times, dossier, month, election, nyt]",0,Neutral
,,
"[fusiongps, founder, personally, briefed, new, york, times, dossier, month, election, nyt]",0,Neutral
,,
"[beto, rourke, may, benefit, unlikely, support, group, white, evangelical, women, new, york, times]",1,Positive
,,
"[limousine, accident, higher, placement, article, new, york, times, website, gonna, tweet, ag]",1,Positive
,,
"[fusiongps, founder, personally, briefed, new, york, times, dossier, month, election, nyt]",0,Neutral
,,
"[fusiongps, founder, personally, briefed, new, york, times, dossier, month, election, nyt]",0,Neutral
,,
"[heartbreaking, migrant, children, search, justice, 2, year, old, day, immigration, court, new, york, times]",0,Neutral
,,
"[fusiongps, founder, personally, briefed, new, york, times, dossier, month, election, nyt]",0,Neutral
,,
"[trump, fraud, bombshell, new, york, times, report, tip, iceberg, international, investigations]",0,Neutral
,,
"[nyu, missed, thread, tries, explain, new, york, times, investigation, proving, tax, cheat, liar]",-4,Negative
,,
"[fusiongps, founder, personally, briefed, new, york, times, dossier, month, election, nyt]",0,Neutral
,,
"[new, york, times, bombshell, bombed, politico]",0,Neutral
,,
"[fusiongps, founder, personally, briefed, new, york, times, dossier, month, election, nyt]",0,Neutral
,,
"[fusiongps, founder, personally, briefed, new, york, times, dossier, month, election, nyt]",0,Neutral
,,
"[migrant, children, search, justice, 2, year, old, day, immigration, court, new, york, times]",0,Neutral
,,
"[rachel, maddow, covering, alpha, bank, server, story, calling, kind, diplomatic, way, new, york, tim]",3,Positive
,,
"[new, york, times, reports, rick, gates, requested, proposals, 2016, israeli, company, create, fake, online, identit]",-1,Negative
,,
"[18, criminality, trump, personally, helpfully, detailed, new, york, times, days, ago, man, massive]",2,Positive
,,
"[fusiongps, founder, personally, briefed, new, york, times, dossier, month, election, nyt]",0,Neutral
,,
"[fusiongps, founder, personally, briefed, new, york, times, dossier, month, election, nyt]",0,Neutral
,,
"[new, york, times, bombshell, bombed, politico]",0,Neutral
,,
"[rachel, maddow, covering, alpha, bank, server, story, calling, kind, diplomatic, way, new, york, tim]",3,Positive
,,
"[18, criminality, trump, personally, helpfully, detailed, new, york, times, days, ago, man, massive]",2,Positive
,,
"[fusiongps, founder, personally, briefed, new, york, times, dossier, month, election, nyt]",0,Neutral
,,
"[fusiongps, founder, personally, briefed, new, york, times, dossier, month, election, nyt]",0,Neutral
,,
"[bts, new, york, times, today, may, seen, article, online, great, one, featured, front, pag]",3,Positive
,,
"[new, york, times, reports, rick, gates, requested, proposals, 2016, israeli, company, create, fake, online, identit]",-1,Negative
,,
"[rachel, maddow, covering, alpha, bank, server, story, calling, kind, diplomatic, way, new, york, tim]",3,Positive
,,
"[fusiongps, founder, personally, briefed, new, york, times, dossier, month, election, nyt]",0,Neutral
,,
"[fusiongps, founder, personally, briefed, new, york, times, dossier, month, election, nyt]",0,Neutral
,,
"[fusiongps, founder, personally, briefed, new, york, times, dossier, month, election, nyt]",0,Neutral
,,
"[fusiongps, founder, personally, briefed, new, york, times, dossier, month, election, nyt]",0,Neutral
,,
"[makes, little, sad, seem, recall, legendary, article, new, york, times, referred, meatloaf]",-1,Negative
,,
"[interesting, phrasing, new, york, times, front, page, pragmatists, mentioned, people, keep, losing, elec]",2,Positive
,,
"[fusiongps, founder, personally, briefed, new, york, times, dossier, month, election, nyt]",0,Neutral
,,
"[fusiongps, founder, personally, briefed, new, york, times, dossier, month, election, nyt]",0,Neutral
,,
"[new, york, times, reports, rick, gates, requested, proposals, 2016, israeli, company, create, fake, online, identit]",-1,Negative
,,
"[new, york, times, 2, 10, 18, muestra, que, es, falso, que, trump, hiciera, su, gran, fortuna, con, apenas, un, pr, stamo, paterno, de]",0,Neutral
,,
"[preferimos, pagar, la, cuota, de, netflix, para, que, nos, cuenten, historias, de, periodistas, que, pagar, la, suscripci, n, un, diario]",0,Neutral
,,
"[thailand, new, york, times, rolling, stone, nme]",0,Neutral
,,
"[fusiongps, founder, personally, briefed, new, york, times, dossier, month, election, nyt]",0,Neutral
,,
"[fusiongps, founder, personally, briefed, new, york, times, dossier, month, election, nyt]",0,Neutral
,,
"[007, sxlxp, pompili]",0,Neutral
,,
"[fusiongps, founder, personally, briefed, new, york, times, dossier, month, election, nyt]",0,Neutral
,,
"[fusiongps, founder, personally, briefed, new, york, times, dossier, month, election, nyt]",0,Neutral
,,
"[fusiongps, founder, personally, briefed, new, york, times, dossier, month, election, nyt]",0,Neutral
,,
"[zayn, seg, n, new, york, times, harry, podr, ser, el, co, host, de, la, met, gala, 2019, junto, al, director, creativo, de, gucci, alessandr]",1,Positive
,,
"[fusiongps, founder, personally, briefed, new, york, times, dossier, month, election, nyt]",0,Neutral
,,
"[fusiongps, founder, personally, briefed, new, york, times, dossier, month, election, nyt]",0,Neutral
,,
"[new, york, times, reports, rick, gates, requested, proposals, 2016, israeli, company, create, fake, online, identit]",-1,Negative
,,
"[fusiongps, founder, personally, briefed, new, york, times, dossier, month, election, nyt]",0,Neutral
,,
"[fusiongps, founder, personally, briefed, new, york, times, dossier, month, election, nyt]",0,Neutral
,,
"[thailand, new, york, times, rolling, stone, nme]",0,Neutral
,,
"[start, treating, climate, change, deniers, like, treat, nazis, mean, give, op, ed, feature, vi]",-1,Negative
,,
"[fusiongps, founder, personally, briefed, new, york, times, dossier, month, election, nyt]",0,Neutral
,,
"[new, york, times, reports, rick, gates, requested, proposals, 2016, israeli, company, create, fake, online, identit]",-1,Negative
,,
"[liked, video, boy, bubble, retro, report, new, york, times]",3,Positive
,,
"[fusiongps, founder, personally, briefed, new, york, times, dossier, month, election, nyt]",0,Neutral
,,
"[according, tonight, show, new, york, times, knew, counterintelligence, investigation, trump, camp]",0,Neutral
,,
"[fusiongps, founder, personally, briefed, new, york, times, dossier, month, election, nyt]",0,Neutral
,,
"[fusiongps, founder, personally, briefed, new, york, times, dossier, month, election, nyt]",0,Neutral
,,
"[fusiongps, founder, personally, briefed, new, york, times, dossier, month, election, nyt]",0,Neutral
,,
"[new, york, times, bombshell, bombed, politico]",0,Neutral
,,
"[new, york, times, 2, 10, 18, muestra, que, es, falso, que, trump, hiciera, su, gran, fortuna, con, apenas, un, pr, stamo, paterno, de]",0,Neutral
,,
"[fusiongps, founder, personally, briefed, new, york, times, dossier, month, election, nyt]",0,Neutral
,,
"[peri, dico, new, york, times, informa, que, rick, gates, ex, ayudante, de, campa, de, trump, estaba, en, contacto, con, la, com]",-1,Negative
,,
"[thailand, new, york, times, rolling, stone, nme]",0,Neutral
,,
"[fusiongps, founder, personally, briefed, new, york, times, dossier, month, election, nyt]",0,Neutral
,,
"[fusiongps, founder, personally, briefed, new, york, times, dossier, month, election, nyt]",0,Neutral
,,
"[new, york, times, reports, rick, gates, requested, proposals, 2016, israeli, company, create, fake, online, identit]",-1,Negative
,,
"[01, think, new, york, times, knowledge, counter, intelligence, investigation, would, made, difference, bas]",2,Positive
,,
"[fusiongps, founder, personally, briefed, new, york, times, dossier, month, election, nyt]",0,Neutral
,,
"[tax, evasion, new, york, times, def, trump]",0,Neutral
,,
"[new, york, times, reports, rick, gates, requested, proposals, 2016, israeli, company, create, fake, online, identit]",-1,Negative
,,
"[president, trump, version, got, rich, parlayed, 1, million, loan, father, 10, billion, empire]",1,Positive
,,
"[southern, california, kpop, superstar, joined, amas, red, carpet, showed, colorful, dres]",0,Neutral
,,
"[procurement, certification, training, cpsm, boot, camp, san, diego, ca, april, 2019, earn, certification, supply]",0,Neutral
,,
"[tunnel, rail, system, found, mexico, california, border]",1,Positive
,,
"[tunnel, rail, system, found, mexico, california, border]",1,Positive
,,
"[dire, warnings, set, climate, change, future, rep, rohrabacher, trump, admin, odds]",0,Neutral
,,
[california],0,Neutral
,,
"[dire, warnings, set, climate, change, future, rep, rohrabacher, trump, admin, odds]",0,Neutral
,,
"[voter, fraud, real, internal, audit, california, department, motor, vehicles, released, monday, shows, 1, 5]",1,Positive
,,
"[triqui, mujer, cachetea, persona, discapacitada, dici, ndole, yo, tengo, departamentos, tu, tienes, nada, los, hechos, habr, ocurr]",-1,Negative
,,
"[typhus, infested, california, thanks, dems, amp, gavinnewsom, time, 4, change, vote4cox, walkaway, helpisontheway, htt]",2,Positive
,,
"[voter, fraud, real, internal, audit, california, department, motor, vehicles, released, monday, shows, 1, 5]",1,Positive
,,
"[john, cox, actually, shot, win, governor, california, supposedly, within, 6, points, polls, polls]",1,Positive
,,
"[john, cox, actually, shot, win, governor, california, supposedly, within, 6, points, polls, polls]",1,Positive
,,
"[john, cox, actually, shot, win, governor, california, supposedly, within, 6, points, polls, polls]",1,Positive
,,
"[california, admits, dmv, error, added, non, citizens, voter, rolls]",0,Neutral
,,
"[shawn, mendes, durante, performance, de, lost, japan, remix, palco, american, musical, awards, hoje, 09, 10, em, los, ange]",0,Neutral
,,
"[attention, residents, great, state, florida, california, based, metoo, mob, boss, milano, working, overtime]",3,Positive
,,
"[john, cox, actually, shot, win, governor, california, supposedly, within, 6, points, polls, polls]",1,Positive
,,
"[voter, fraud, real, internal, audit, california, department, motor, vehicles, released, monday, shows, 1, 5]",1,Positive
,,
"[hola, amanecemos, dice, world, justice, project, 32, entidades, reprobadas, en, estado, de, derecho, la, inseguridad, justicia]",3,Positive
,,
"[john, cox, actually, shot, win, governor, california, supposedly, within, 6, points, polls, polls]",1,Positive
,,
"[california, iconic, gold, gate, bridge, today, without, people, working, behind, scenes]",2,Positive
,,
"[john, cox, actually, shot, win, governor, california, supposedly, within, 6, points, polls, polls]",1,Positive
,,
"[feel, like, fair, state, california, kardas]",1,Positive
,,
"[dmv, reported, last, month, made, 23, 000, voter, registration, errors, motor, voter, ropes, californi]",0,Neutral
,,
"[attention, residents, great, state, florida, california, based, metoo, mob, boss, milano, working, overtime]",3,Positive
,,
"[john, cox, actually, shot, win, governor, california, supposedly, within, 6, points, polls, polls]",1,Positive
,,
"[election, 2018, look, propositions, appearing, california, ballot, november, https]",1,Positive
,,
"[would, definitely, okay, moving, california, little, bit]",3,Positive
,,
"[pandashowregresa, saludos, desde, san, jose, california, se, escucha, bien, clarito, con, claro, musica]",0,Neutral
,,
"[voter, fraud, real, internal, audit, california, department, motor, vehicles, released, monday, shows, 1, 5]",1,Positive
,,
"[red, carpet, premier, gosnell, beverly, hills, california]",0,Neutral
,,
"[california, dmv, accidentally, added, 1, 500, non, citizens, voter, roles, great, addition]",1,Positive
,,
"[people, even, know, palo, alto, california, silicone, valley, world, blasey, ford, flee]",3,Positive
,,
"[see, going, need, california, king, bed, dealing, tyler, tristan]",3,Positive
,,
"[texas, today, last, day, register, vote, get, let, keep, texas, red, hear, onl]",3,Positive
,,
"[bombshell, article, nunes, buried, evidence, russian, meddling, protect, trump, know, c]",1,Positive
,,
"[california, want, keep, maxine, waters, congress, hell, something, vote, district, 43]",2,Positive
,,
"[tunnel, rail, system, found, mexico, california, border]",1,Positive
,,
"[triqui, mujer, cachetea, persona, discapacitada, dici, ndole, yo, tengo, departamentos, tu, tienes, nada, los, hechos, habr, ocurr]",-1,Negative
,,
"[one, year, ago, tonight, series, wildfires, broke, california, wine, country, 250, 000, ac, burned, 9, 000, homes]",0,Neutral
,,
"[john, cox, actually, shot, win, governor, california, supposedly, within, 6, points, polls, polls]",1,Positive
,,
"[conservative, making, donation, hes, campaign, california, way, helping]",2,Positive
,,
